"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"260","Stephen Sullivan","CAR","TE","14","65","16.2%","15.4","77","1.3%","5","1.4%","0.08","2","40.0%","46","3.3","1.8%","0.71","9.20","23.00","31","15.50","3","1.50","0","0.0%","0","0","0","0.00","2","0","0.0%","2","40.0%","0","0.0%","1","0","0.0%","0","34.2","3","1.3%","10.0%","-1.3","6.2%","43.1%","50.8%","0.0%","0.10","0.5","6.6","10.6","0.8","0.16"
"261","Mike Woods","CLV","WR","10","88","23.5%","16.4","131","2.0%","8","2.5%","0.09","5","62.5%","45","4.5","1.9%","0.51","5.63","9.00","19","3.80","5","1.00","0","0.0%","2","0","0","0.00","3","0","0.0%","5","62.5%","0","0.0%","0","0","0.0%","0","38.0","7","3.5%","12.3%","-3.6","67.0%","31.8%","0.0%","1.1%","0.10","0.9","9.0","17.5","1.8","0.20"
"262","Andre Baccellia","ARZ","WR","8","61","17.7%","8.4","84","3.9%","10","3.2%","0.16","7","70.0%","45","5.6","2.4%","0.74","4.50","6.43","13","1.86","5","0.71","0","0.0%","1","0","0","0.00","4","1","10.0%","8","80.0%","0","0.0%","1","1","100.0%","0","79.2","8","3.7%","15.9%","-3.1","85.2%","14.8%","0.0%","0.0%","0.19","1.4","11.5","16.3","2.0","0.27"
"263","Chris Manhertz","JAX","TE","17","72","11.1%","2.4","19","0.2%","8","1.3%","0.11","6","75.0%","42","2.5","1.0%","0.58","5.25","7.00","37","6.17","6","1.00","0","0.0%","0","0","1","0.17","2","1","12.5%","8","100.0%","2","25.0%","0","0","0.0%","0","86.5","6","1.3%","6.6%","-1.4","2.8%","4.2%","93.1%","0.0%","0.14","0.6","10.2","11.9","0.7","0.17"
"264","Brandon Johnson","DEN","WR","7","119","45.9%","15.2","152","4.4%","10","4.5%","0.08","6","60.0%","42","6.0","2.7%","0.35","4.20","7.00","12","2.00","4","0.67","1","10.0%","2","1","1","0.17","2","0","0.0%","6","60.0%","0","0.0%","1","1","100.0%","0","102.9","4","3.3%","10.8%","-4.3","90.8%","9.2%","0.0%","0.0%","0.13","2.2","15.2","16.6","2.4","0.14"
"265","Laquon Treadwell","SEA","WR","6","74","30.2%","5.3","42","2.8%","8","3.8%","0.11","6","75.0%","42","7.0","2.7%","0.57","5.25","7.00","14","2.33","9","1.50","0","0.0%","0","0","0","0.00","3","1","12.5%","7","87.5%","0","0.0%","0","0","0.0%","0","86.5","8","5.5%","13.1%","-1.4","70.3%","29.7%","0.0%","0.0%","0.14","1.7","10.2","14.6","2.4","0.20"
"266","John Brown","BUF","WR","3","9","8.5%","42.5","85","10.0%","2","2.2%","0.22","1","50.0%","42","14.0","6.7%","4.67","21.00","42.00","1","1.00","-","-","1","16.7%","0","0","0","0.00","1","0","0.0%","2","100.0%","0","0.0%","1","0","0.0%","1","135.4","1","1.6%","22.2%","6.0","100.0%","0.0%","0.0%","0.0%","1.24","3.7","11.2","3.2","1.1","0.35"
"267","Jameson Williams","DET","WR","6","38","16.2%","17.1","154","3.9%","9","4.0%","0.24","1","11.1%","41","6.8","2.3%","1.08","4.56","41.00","4","4.00","-","-","1","8.3%","1","0","0","0.00","1","2","22.2%","4","44.4%","1","11.1%","1","0","0.0%","0","83.1","7","4.9%","24.3%","-5.4","76.3%","23.7%","0.0%","0.0%","0.40","2.5","15.1","20.9","3.5","0.54"
"268","Racey McMath","TEN","WR","4","43","28.1%","25.0","175","7.9%","7","5.3%","0.16","2","28.6%","40","10.0","4.7%","0.93","5.71","20.00","7","3.50","1","0.50","0","0.0%","2","0","0","0.00","1","0","0.0%","5","71.4%","0","0.0%","3","0","0.0%","0","11.3","5","5.7%","21.9%","-5.5","83.7%","16.3%","0.0%","0.0%","0.15","1.6","6.4","13.8","3.5","0.31"
"269","Luke Farrell","JAX","TE","16","15","2.4%","0.5","2","0.1%","4","0.7%","0.27","4","100.0%","40","2.5","1.0%","2.67","10.00","10.00","38","9.50","16","4.00","0","0.0%","0","0","1","0.25","3","0","0.0%","4","100.0%","1","25.0%","0","0","0.0%","0","108.3","4","0.9%","18.2%","4.3","6.7%","6.7%","86.7%","0.0%","0.53","0.5","8.0","5.7","0.4","0.38"
"270","Mike Thomas","CIN","WR","10","102","24.1%","16.1","129","0.9%","8","2.1%","0.08","2","25.0%","38","3.8","1.3%","0.37","4.75","19.00","24","12.00","25","12.50","0","0.0%","3","0","1","0.50","1","2","25.0%","5","62.5%","0","0.0%","3","1","33.3%","0","46.9","7","2.9%","8.8%","-4.6","84.3%","15.7%","0.0%","0.0%","0.08","0.8","7.8","19.9","2.0","0.20"
"271","Dax Milne","WAS","WR","15","34","6.1%","5.1","36","1.2%","7","1.4%","0.21","6","85.7%","37","2.5","1.1%","1.09","5.29","6.17","14","2.33","8","1.33","1","5.0%","0","0","0","0.00","2","0","0.0%","6","85.7%","0","0.0%","1","1","100.0%","0","128.3","4","1.3%","25.0%","-1.1","47.1%","52.9%","0.0%","0.0%","0.46","1.0","15.7","12.5","0.8","0.37"
"272","Cole Beasley","TB, BUF","WR","4","19","11.0%","3.3","23","2.7%","7","4.4%","0.37","6","85.7%","35","8.8","3.1%","1.84","5.00","5.83","17","2.83","2","0.33","0","0.0%","0","0","0","0.00","1","1","14.3%","7","100.0%","1","14.3%","0","0","0.0%","0","87.5","6","5.3%","43.8%","-1.0","21.1%","78.9%","0.0%","0.0%","0.50","2.4","9.5","10.1","2.5","0.53"
"273","Kendall Blanton","LA","TE","5","7","3.5%","6.0","12","2.4%","2","1.1%","0.29","2","100.0%","35","7.0","2.8%","5.00","17.50","17.50","23","11.50","5","2.50","0","0.0%","0","0","0","0.00","1","0","0.0%","2","100.0%","0","0.0%","0","0","0.0%","0","118.8","1","0.8%","18.2%","10.4","14.3%","0.0%","85.7%","0.0%","0.79","1.1","5.5","2.8","0.6","0.40"
"274","Tylan Wallace","BLT","WR","8","42","14.3%","14.3","86","2.2%","6","2.3%","0.14","4","66.7%","33","4.1","1.9%","0.79","5.50","8.25","11","2.75","8","2.00","0","0.0%","0","0","1","0.25","1","0","0.0%","4","66.7%","0","0.0%","0","0","0.0%","0","80.6","5","2.8%","17.1%","-3.1","73.8%","26.2%","0.0%","0.0%","0.17","0.9","7.3","10.0","1.2","0.24"
"275","Deven Thompkins","TB","WR","5","33","14.2%","8.3","83","0.0%","10","4.4%","0.30","5","50.0%","32","6.4","2.3%","0.97","3.20","6.40","32","6.40","19","3.80","0","0.0%","0","0","2","0.40","1","0","0.0%","7","70.0%","3","30.0%","1","0","0.0%","0","57.1","9","5.6%","27.0%","-4.3","84.8%","12.1%","0.0%","3.0%","0.33","2.2","10.8","18.4","3.7","0.53"
"276","Tim Jones","JAX","WR","16","43","7.0%","1.0","4","0.4%","4","0.7%","0.09","3","75.0%","30","1.9","0.8%","0.70","7.50","10.00","23","7.67","15","5.00","0","0.0%","0","0","1","0.33","1","0","0.0%","4","100.0%","2","50.0%","1","1","100.0%","0","95.8","3","0.7%","7.8%","1.8","81.4%","16.3%","2.3%","0.0%","0.14","0.4","6.0","5.5","0.3","0.13"
"277","Kyle Rudolph","TB","TE","9","28","6.4%","10.0","50","2.4%","5","1.2%","0.18","3","60.0%","28","3.1","1.1%","1.00","5.60","9.33","4","1.33","2","0.67","1","8.3%","2","1","0","0.00","2","1","20.0%","4","80.0%","0","0.0%","0","0","0.0%","0","115.0","4","1.3%","13.5%","-3.0","7.1%","10.7%","82.1%","0.0%","0.42","1.3","11.8","10.2","1.1","0.36"
"278","Tyrie Cleveland","DEN","WR","5","36","17.3%","14.6","102","1.9%","7","3.8%","0.19","2","28.6%","28","5.6","2.1%","0.78","4.00","14.00","17","8.50","11","5.50","0","0.0%","2","0","2","1.00","1","0","0.0%","3","42.9%","0","0.0%","1","0","0.0%","0","4.2","3","3.0%","24.1%","-5.0","66.7%","33.3%","0.0%","0.0%","0.13","1.0","4.8","14.1","2.8","0.39"
"279","Ben Ellefson","MIN","TE","4","7","4.2%","5.3","16","3.0%","3","1.9%","0.43","3","100.0%","26","6.5","2.5%","3.71","8.67","8.67","10","3.33","-1","-0.33","0","0.0%","0","0","0","0.00","2","0","0.0%","3","100.0%","0","0.0%","1","1","100.0%","0","102.8","3","2.9%","16.7%","1.5","14.3%","0.0%","85.7%","0.0%","0.80","1.4","5.6","4.5","1.1","0.65"
"280","Trevon Wesco","CHI","TE","15","22","4.9%","5.5","22","1.1%","4","1.2%","0.18","2","50.0%","26","1.7","1.1%","1.18","6.50","13.00","12","6.00","6","3.00","0","0.0%","0","0","1","0.50","1","1","25.0%","3","75.0%","0","0.0%","0","0","0.0%","0","70.8","2","0.9%","10.0%","-0.8","4.5%","9.1%","86.4%","0.0%","0.30","0.4","6.6","7.3","0.5","0.33"
"281","Jaelon Darden","TB, CLV","WR","14","40","6.5%","5.5","11","0.6%","2","0.3%","0.05","2","100.0%","26","1.9","0.7%","0.65","13.00","13.00","15","7.50","5","2.50","0","0.0%","0","0","0","0.00","1","0","0.0%","2","100.0%","1","50.0%","0","0","0.0%","0","118.8","2","0.5%","5.4%","5.6","67.5%","32.5%","0.0%","0.0%","0.12","0.3","4.8","3.8","0.3","0.08"
"282","Ryan Griffin","CHI","TE","15","40","9.0%","4.3","30","1.2%","7","2.1%","0.18","4","57.1%","26","1.7","1.1%","0.65","3.71","6.50","10","2.50","2","0.50","0","0.0%","1","0","0","0.00","1","0","0.0%","4","57.1%","1","14.3%","1","1","100.0%","0","65.2","4","1.8%","17.9%","-3.0","0.0%","17.5%","80.0%","2.5%","0.17","0.4","6.6","11.4","0.8","0.29"
"283","Tyler Davis","GB","TE","17","35","5.8%","2.8","14","-0.1%","5","0.9%","0.14","4","80.0%","26","1.5","0.7%","0.74","5.20","6.50","27","6.75","5","1.25","0","0.0%","0","0","0","0.00","1","0","0.0%","4","80.0%","0","0.0%","0","0","0.0%","0","48.8","3","0.8%","8.5%","-1.3","28.6%","25.7%","45.7%","0.0%","0.19","0.4","6.6","7.5","0.4","0.21"
"284","Daylen Baldwin","CLV","WR","1","5","15.6%","12.5","25","30.5%","2","7.1%","0.40","2","100.0%","25","25.0","15.5%","5.00","12.50","12.50","0","0.00","-","-","0","0.0%","0","0","0","0.00","2","0","0.0%","2","100.0%","0","0.0%","0","0","0.0%","0","118.8","2","9.5%","40.0%","3.5","80.0%","20.0%","0.0%","0.0%","0.90","4.5","4.5","3.4","3.4","0.69"
"285","Simi Fehoko","DAL","WR","5","21","13.3%","12.8","51","2.4%","4","2.7%","0.19","3","75.0%","24","4.8","2.5%","1.14","6.00","8.00","10","3.33","5","1.67","0","0.0%","0","0","0","0.00","1","1","25.0%","4","100.0%","0","0.0%","1","1","100.0%","0","89.6","4","3.8%","21.1%","-2.4","66.7%","33.3%","0.0%","0.0%","0.26","1.1","5.4","7.1","1.4","0.34"
"286","Dareke Young","SEA","WR","12","29","6.2%","0.0","0","0.0%","2","0.5%","0.07","2","100.0%","24","2.0","0.8%","0.83","12.00","12.00","24","12.00","12","6.00","0","0.0%","0","0","1","0.50","2","0","0.0%","2","100.0%","1","50.0%","0","0","0.0%","0","116.7","2","0.7%","7.7%","6.7","51.7%","44.8%","0.0%","3.4%","0.15","0.4","4.4","7.0","0.6","0.24"
"287","Dezmon Patmon","IND","WR","1","15","42.9%","13.8","69","12.5%","5","16.7%","0.33","2","40.0%","24","24.0","12.3%","1.60","4.80","12.00","8","4.00","6","3.00","0","0.0%","1","0","0","0.00","1","1","20.0%","5","100.0%","0","0.0%","3","1","33.3%","0","55.4","3","15.8%","35.7%","-4.0","80.0%","20.0%","0.0%","0.0%","0.29","4.4","4.4","10.2","10.2","0.68"
"288","Cole Turner","WAS","TE","10","68","20.8%","8.9","71","1.3%","8","2.7%","0.12","2","25.0%","23","2.3","1.1%","0.34","2.88","11.50","8","4.00","4","2.00","0","0.0%","1","0","0","0.00","1","1","12.5%","5","62.5%","0","0.0%","3","0","0.0%","0","39.6","5","2.6%","10.4%","-5.4","17.6%","51.5%","30.9%","0.0%","0.06","0.4","4.3","15.1","1.5","0.22"
"289","Cade Johnson","SEA","WR","3","31","27.2%","8.5","34","4.0%","4","4.3%","0.13","2","50.0%","21","7.0","3.5%","0.68","5.25","10.50","8","4.00","3","1.50","0","0.0%","0","0","0","0.00","2","0","0.0%","3","75.0%","0","0.0%","1","0","0.0%","0","65.6","4","5.4%","16.7%","-2.2","29.0%","67.7%","3.2%","0.0%","0.13","1.4","4.1","6.0","2.0","0.19"
"290","Andy Isabella","BLT, ARZ","WR","5","42","22.8%","13.0","65","3.1%","5","3.0%","0.12","2","40.0%","21","4.2","2.2%","0.50","4.20","10.50","5","2.50","3","1.50","0","0.0%","0","0","0","0.00","2","0","0.0%","2","40.0%","0","0.0%","0","0","0.0%","0","52.9","4","3.6%","13.5%","-4.6","59.5%","40.5%","0.0%","0.0%","0.10","0.8","4.2","8.6","1.7","0.20"
"291","Blake Bell","KC","TE","3","10","9.3%","5.5","11","3.6%","2","2.1%","0.20","2","100.0%","20","6.7","2.7%","2.00","10.00","10.00","9","4.50","2","1.00","1","16.7%","0","0","0","0.00","1","0","0.0%","2","100.0%","0","0.0%","0","0","0.0%","0","147.9","2","2.8%","20.0%","3.0","0.0%","20.0%","80.0%","0.0%","1.00","3.3","10.0","2.9","1.0","0.29"
"292","Lil'Jordan Humphrey","NE","WR","5","41","25.9%","5.5","22","0.8%","4","2.9%","0.10","2","50.0%","20","4.0","1.8%","0.49","5.00","10.00","15","7.50","5","2.50","0","0.0%","0","0","0","0.00","0","0","0.0%","2","50.0%","1","25.0%","0","0","0.0%","0","64.6","3","3.3%","9.5%","-2.0","24.4%","73.2%","2.4%","0.0%","0.10","0.8","4.0","6.1","1.2","0.15"
"293","Keke Coutee","IND","WR","7","2","0.7%","10.0","10","1.3%","1","0.4%","0.50","1","100.0%","20","2.9","1.3%","10.00","20.00","20.00","10","10.00","1","1.00","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","118.8","1","0.7%","33.3%","12.5","0.0%","100.0%","0.0%","0.0%","1.00","0.3","2.0","1.5","0.2","0.76"
"294","Penny Hart","SEA","WR","7","21","7.7%","8.0","32","0.8%","4","1.6%","0.19","3","75.0%","20","2.9","1.1%","0.95","5.00","6.67","11","3.67","8","2.67","0","0.0%","1","0","0","0.00","1","0","0.0%","3","75.0%","1","25.0%","1","1","100.0%","0","85.4","4","2.5%","21.1%","-2.2","38.1%","61.9%","0.0%","0.0%","0.24","0.7","5.0","6.6","0.9","0.32"
"295","Jesper Horsted","LV","TE","11","25","5.9%","6.8","27","0.9%","4","1.0%","0.16","3","75.0%","19","1.7","0.7%","0.76","4.75","6.33","5","1.67","7","2.33","0","0.0%","0","0","0","0.00","0","0","0.0%","4","100.0%","0","0.0%","2","1","50.0%","0","84.4","3","1.2%","14.3%","-2.5","20.0%","40.0%","40.0%","0.0%","0.20","0.4","4.9","5.5","0.5","0.22"
"296","Keith Kirkwood","NO","WR","5","62","45.6%","13.5","54","3.3%","4","3.2%","0.06","2","50.0%","18","3.6","2.0%","0.29","4.50","9.00","4","2.00","2","1.00","0","0.0%","0","0","0","0.00","1","1","25.0%","4","100.0%","0","0.0%","2","1","50.0%","0","62.5","4","4.9%","6.7%","-4.9","38.7%","59.7%","1.6%","0.0%","0.06","0.8","3.8","7.4","1.5","0.12"
"297","Maxx Williams","ARZ","TE","11","33","6.7%","4.0","12","1.0%","3","0.7%","0.09","3","100.0%","18","1.6","0.7%","0.55","6.00","6.00","6","2.00","2","0.67","0","0.0%","0","0","0","0.00","0","0","0.0%","3","100.0%","0","0.0%","1","1","100.0%","1","91.7","0","0.0%","5.7%","-0.5","3.0%","6.1%","81.8%","9.1%","0.15","0.4","4.8","4.3","0.4","0.13"
"298","Braylon Sanders","MIA","WR","3","18","18.0%","13.7","41","2.3%","3","3.3%","0.17","2","66.7%","17","5.7","1.8%","0.94","5.67","8.50","2","1.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","2","66.7%","0","0.0%","0","0","0.0%","0","81.3","3","4.7%","20.0%","-3.3","72.2%","27.8%","0.0%","0.0%","0.15","0.9","2.7","4.5","1.5","0.25"
"299","Stone Smartt","LAC","TE","7","34","10.9%","4.8","24","1.2%","5","1.8%","0.15","4","80.0%","17","2.4","0.8%","0.50","3.40","4.25","6","1.50","-","-","0","0.0%","0","0","0","0.00","1","0","0.0%","4","80.0%","0","0.0%","0","0","0.0%","0","80.8","3","1.8%","15.6%","-3.2","29.4%","44.1%","26.5%","0.0%","0.17","0.8","5.7","7.2","1.0","0.21"
"300","Juwann Winfree","GB","WR","3","22","17.2%","12.3","49","4.0%","4","3.4%","0.18","1","25.0%","17","5.7","2.2%","0.77","4.25","17.00","5","5.00","-","-","0","0.0%","0","0","0","0.00","1","1","25.0%","2","50.0%","0","0.0%","0","0","0.0%","0","44.8","3","3.8%","16.7%","-4.1","40.9%","59.1%","0.0%","0.0%","0.12","0.9","2.7","8.2","2.7","0.37"
"301","Dennis Houston","DAL","WR","2","44","55.7%","13.8","83","3.8%","6","8.2%","0.14","2","33.3%","16","8.0","3.7%","0.36","2.67","8.00","6","3.00","6","3.00","0","0.0%","1","0","0","0.00","0","0","0.0%","2","33.3%","0","0.0%","0","0","0.0%","0","42.4","5","10.0%","14.3%","-6.2","93.2%","6.8%","0.0%","0.0%","0.08","1.8","3.6","12.0","6.0","0.27"
"302","Frank Darby","ATL","WR","5","18","12.1%","15.0","15","2.9%","1","0.8%","0.06","1","100.0%","15","3.0","1.5%","0.83","15.00","15.00","0","0.00","-","-","0","0.0%","0","0","0","0.00","1","0","0.0%","1","100.0%","0","0.0%","1","1","100.0%","0","118.8","0","0.0%","7.1%","4.6","77.8%","22.2%","0.0%","0.0%","0.14","0.5","2.5","1.2","0.2","0.06"
"303","Ty Montgomery","NE","WR","1","11","33.3%","2.5","10","5.5%","4","13.3%","0.36","3","75.0%","15","15.0","7.0%","1.36","3.75","5.00","9","3.00","3","1.00","1","100.0%","0","0","0","0.00","1","0","0.0%","3","75.0%","0","0.0%","0","0","0.0%","0","119.8","2","12.5%","26.7%","-1.7","0.0%","0.0%","0.0%","100.0%","0.94","10.3","10.3","7.4","7.4","0.62"
"304","Bryan Edwards","ATL","WR","7","44","21.2%","9.0","45","0.5%","5","3.0%","0.11","3","60.0%","15","2.1","1.2%","0.34","3.00","5.00","11","3.67","8","2.67","0","0.0%","1","0","0","0.00","0","0","0.0%","3","60.0%","1","20.0%","0","0","0.0%","0","25.0","4","3.3%","12.2%","-4.6","84.1%","15.9%","0.0%","0.0%","0.10","0.6","4.5","12.1","1.7","0.28"
"305","Ihmir Smith-Marsette","KC, CHI","WR","8","28","11.4%","8.3","25","1.5%","3","1.6%","0.11","1","33.3%","15","1.9","1.1%","0.54","5.00","15.00","5","5.00","6","6.00","0","0.0%","0","0","1","1.00","0","1","33.3%","2","66.7%","0","0.0%","1","0","0.0%","0","50.7","2","1.5%","15.0%","-2.3","71.4%","28.6%","0.0%","0.0%","0.05","0.2","1.4","5.0","0.6","0.17"
"306","Quintez Cephus","DET","WR","4","20","12.4%","5.3","16","1.9%","3","2.0%","0.15","2","66.7%","15","3.8","1.3%","0.75","5.00","7.50","4","2.00","2","1.00","0","0.0%","0","0","0","0.00","1","0","0.0%","2","66.7%","0","0.0%","0","0","0.0%","0","78.5","3","2.9%","13.0%","-1.6","70.0%","30.0%","0.0%","0.0%","0.18","0.9","3.5","4.5","1.1","0.22"
"307","Nsimba Webster","CHI","WR","1","8","24.2%","7.7","23","13.7%","3","13.6%","0.38","2","66.7%","14","14.0","9.2%","1.75","4.67","7.00","4","2.00","1","0.50","0","0.0%","0","0","0","0.00","1","0","0.0%","2","66.7%","0","0.0%","1","0","0.0%","0","77.1","2","12.5%","50.0%","-2.5","100.0%","0.0%","0.0%","0.0%","0.43","3.4","3.4","4.9","4.9","0.61"
"308","Austin Trammell","LA","WR","6","28","14.9%","6.8","27","2.5%","4","2.6%","0.14","2","50.0%","13","2.2","1.3%","0.46","3.25","6.50","0","0.00","-","-","0","0.0%","0","0","0","0.00","1","0","0.0%","3","75.0%","0","0.0%","1","0","0.0%","1","57.3","4","4.0%","18.2%","-3.8","39.3%","60.7%","0.0%","0.0%","0.12","0.6","3.3","5.6","0.9","0.20"
"309","Deonte Harty","NO","WR","4","18","12.5%","3.0","6","0.9%","2","1.6%","0.11","2","100.0%","13","3.3","1.4%","0.72","6.50","6.50","7","3.50","2","1.00","0","0.0%","0","0","0","0.00","0","0","0.0%","2","100.0%","1","50.0%","0","0","0.0%","0","93.8","2","2.2%","12.5%","0.5","66.7%","33.3%","0.0%","0.0%","0.13","0.6","2.3","3.1","0.8","0.17"
"310","Jalen Tolbert","DAL","WR","7","39","16.3%","15.0","45","1.1%","3","1.3%","0.08","2","66.7%","12","1.7","0.7%","0.31","4.00","6.00","2","1.00","1","0.50","0","0.0%","0","0","0","0.00","0","0","0.0%","2","66.7%","0","0.0%","1","1","100.0%","0","74.3","3","1.8%","8.3%","-4.7","89.7%","10.3%","0.0%","0.0%","0.08","0.5","3.2","5.7","0.8","0.15"
"311","Sean McKeon","DAL","TE","13","15","3.2%","1.0","2","0.1%","2","0.5%","0.13","2","100.0%","11","0.8","0.3%","0.73","5.50","5.50","9","4.50","3","1.50","0","0.0%","0","0","0","0.00","1","0","0.0%","2","100.0%","0","0.0%","1","1","100.0%","0","89.6","2","0.7%","9.5%","-0.3","6.7%","0.0%","80.0%","13.3%","0.21","0.2","3.1","3.1","0.2","0.20"
"312","Miles Boykin","PIT","WR","16","27","4.4%","15.0","45","0.5%","3","0.6%","0.11","2","66.7%","11","0.7","0.3%","0.41","3.67","5.50","0","0.00","-1","-0.50","0","0.0%","0","0","0","0.00","1","0","0.0%","2","66.7%","0","0.0%","2","1","50.0%","0","72.9","2","0.6%","13.0%","-6.1","70.4%","29.6%","0.0%","0.0%","0.11","0.2","3.1","5.5","0.3","0.20"
"313","Danny Gray","SF","WR","13","26","6.2%","24.3","146","0.4%","6","1.5%","0.23","1","16.7%","10","0.8","0.3%","0.38","1.67","10.00","4","4.00","2","2.00","0","0.0%","0","0","0","0.00","1","0","0.0%","2","33.3%","0","0.0%","2","0","0.0%","0","39.6","5","1.9%","24.0%","-8.6","84.6%","15.4%","0.0%","0.0%","0.11","0.2","2.9","10.4","0.8","0.38"
"314","Stephen Anderson","ARZ","TE","14","39","6.4%","5.3","37","0.1%","7","1.3%","0.18","3","42.9%","9","0.6","0.3%","0.23","1.29","3.00","7","2.33","4","1.33","0","0.0%","1","0","0","0.00","0","3","42.9%","7","100.0%","1","14.3%","1","1","100.0%","0","50.3","6","1.6%","16.3%","-6.1","10.3%","17.9%","66.7%","5.1%","0.10","0.3","3.9","12.3","0.9","0.31"
"315","Kavontae Turpin","DAL","WR","17","25","4.2%","3.0","3","0.1%","1","0.2%","0.04","1","100.0%","9","0.5","0.2%","0.36","9.00","9.00","6","6.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","104.2","1","0.3%","5.0%","3.6","20.0%","80.0%","0.0%","0.0%","0.06","0.1","1.6","3.1","0.2","0.05"
"316","Jeremy Ruckert","NYJ","TE","5","13","7.4%","3.5","7","0.8%","2","1.2%","0.15","1","50.0%","8","1.6","0.6%","0.62","4.00","8.00","3","3.00","1","1.00","0","0.0%","0","0","0","0.00","0","1","50.0%","2","100.0%","1","50.0%","0","0","0.0%","0","60.4","2","1.9%","15.4%","-2.4","7.7%","23.1%","69.2%","0.0%","0.14","0.4","1.8","2.8","0.6","0.22"
"317","Tyron Johnson","LV, HST","WR","4","12","8.3%","-2.0","-2","-0.5%","1","0.8%","0.08","1","100.0%","8","2.0","1.0%","0.67","8.00","8.00","10","10.00","-1","-1.00","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","1","100.0%","0","0","0.0%","0","100.0","1","1.3%","9.1%","2.5","100.0%","0.0%","0.0%","0.0%","0.15","0.5","1.8","1.8","0.5","0.15"
"318","Tommy Sweeney","BUF","TE","6","16","6.9%","-1.0","-1","-0.1%","1","0.5%","0.06","1","100.0%","7","1.2","0.4%","0.44","7.00","7.00","8","8.00","-","-","0","0.0%","0","0","0","0.00","1","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","95.8","1","0.7%","4.2%","2.1","6.3%","18.8%","56.3%","18.8%","0.11","0.3","1.7","1.5","0.3","0.10"
"319","Tyler Mabry","SEA","TE","2","2","2.7%","5.0","5","2.1%","1","1.7%","0.50","1","100.0%","7","3.5","1.8%","3.50","7.00","7.00","2","2.00","-","-","1","33.3%","0","0","0","0.00","1","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","135.4","1","2.1%","50.0%","0.5","50.0%","0.0%","50.0%","0.0%","3.85","3.9","7.7","2.3","1.2","1.16"
"320","Jalen Camp","HST","WR","2","5","8.8%","7.0","7","3.5%","1","2.0%","0.20","1","100.0%","7","3.5","1.9%","1.40","7.00","7.00","0","0.00","-","-","0","0.0%","0","0","0","0.00","1","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","95.8","1","3.0%","25.0%","-0.1","60.0%","40.0%","0.0%","0.0%","0.34","0.9","1.7","1.6","0.8","0.32"
"321","Maurice Alexander","DET","WR","4","1","0.7%","2.0","2","0.4%","1","0.7%","1.00","1","100.0%","7","1.8","0.6%","7.00","7.00","7.00","5","5.00","2","2.00","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","95.8","1","1.0%","50.0%","1.7","100.0%","0.0%","0.0%","0.0%","1.70","0.4","1.7","1.3","0.3","1.30"
"322","Mason Schreck","HST","TE","3","21","21.6%","3.5","7","2.5%","2","2.3%","0.10","2","100.0%","6","2.0","1.2%","0.29","3.00","3.00","-1","-0.50","-1","-0.50","0","0.0%","0","0","0","0.00","0","0","0.0%","2","100.0%","0","0.0%","1","1","100.0%","0","79.2","1","1.7%","8.7%","-3.4","4.8%","4.8%","90.5%","0.0%","0.12","0.9","2.6","2.9","1.0","0.14"
"323","Pharoh Cooper","ARZ","WR","5","9","4.3%","-3.5","-7","-1.4%","2","1.1%","0.22","2","100.0%","6","1.2","0.5%","0.67","3.00","3.00","13","6.50","5","2.50","0","0.0%","0","0","0","0.00","0","0","0.0%","2","100.0%","1","50.0%","0","0","0.0%","0","79.2","1","0.8%","20.0%","-1.7","33.3%","66.7%","0.0%","0.0%","0.46","0.8","4.1","5.1","1.0","0.35"
"324","C.J. Board","TEN","WR","4","8","5.6%","6.0","6","1.1%","1","0.8%","0.13","1","100.0%","6","1.5","0.6%","0.75","6.00","6.00","0","0.00","-","-","0","0.0%","0","0","0","0.00","0","0","0.0%","1","100.0%","0","0.0%","0","0","0.0%","0","91.7","1","1.1%","12.5%","-0.9","75.0%","25.0%","0.0%","0.0%","0.20","0.4","1.6","1.4","0.4","0.18"
